strategy,task_id,task_type,category,task_difficulty,pitfalls,tag_count,split,pass_rate,num_tests,decomposition_steps,tokens_used,planning_time,initial_pass,final_pass,repair_rounds,total_tests_run,subtasks_repaired,localized_repairs,localized_repair_rate,compile_failed,final_status,round_trace_path,subtasks_targeted,contract_completeness,round_traces_json,contract_length,planning_tokens_diag,planning_time_diag,pattern_confidence,view_consistency,num_deltas,critic_comments,trace_length
pattern_skeleton,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,8.0,172.0,7.254548,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002044999855570495, ""failing_tests"": [], ""error_types"": []}]",,172.0,7.254548,0.0,,,,
failure_mode_first,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,7.0,126.0,1.959148,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001157090300694108, ""failing_tests"": [], ""error_types"": []}]",,126.0,1.959148,,,,,
multi_view,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00010850001126527786, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,7.0,80.0,2.48999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.391602361574769e-05, ""failing_tests"": [], ""error_types"": []}]",,80.0,2.48999,,,1.0,,
role_decomposed,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,8.0,163.0,3.239406,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00029141700360924006, ""failing_tests"": [], ""error_types"": []}]",,163.0,3.239406,,,,1.0,
simulation_trace,array_sum_test,array,unknown,S,overflow;edge_case,1,test,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_sum_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00015908299246802926, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_sum_hard.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002562080044299364, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,7.0,153.0,3.378216,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_sum_hard.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00011520797852426767, ""failing_tests"": [], ""error_types"": []}]",11.0,153.0,3.378216,,,,,
pattern_skeleton,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,8.0,172.0,7.254548,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.81659977696836e-05, ""failing_tests"": [], ""error_types"": []}]",,172.0,7.254548,0.0,,,,
failure_mode_first,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,7.0,126.0,1.959148,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 8.804199751466513e-05, ""failing_tests"": [], ""error_types"": []}]",,126.0,1.959148,,,,,
multi_view,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001497080083936453, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,7.0,80.0,2.48999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00010000000474974513, ""failing_tests"": [], ""error_types"": []}]",,80.0,2.48999,,,1.0,,
role_decomposed,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,8.0,164.0,3.169709,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00024220801424235106, ""failing_tests"": [], ""error_types"": []}]",,164.0,3.169709,,,,1.0,
simulation_trace,array_sum_hard,array,unknown,H,overflow;time_limit,1,train,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_sum_hard.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00022720801644027233, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_sum_stress.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001288340426981449, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,7.0,153.0,3.378216,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_sum_stress.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00010679196566343307, ""failing_tests"": [], ""error_types"": []}]",11.0,153.0,3.378216,,,,,
pattern_skeleton,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,8.0,172.0,7.254548,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.920803131535649e-05, ""failing_tests"": [], ""error_types"": []}]",,172.0,7.254548,0.0,,,,
failure_mode_first,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,7.0,126.0,1.959148,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00010845798533409834, ""failing_tests"": [], ""error_types"": []}]",,126.0,1.959148,,,,,
multi_view,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001301249722018838, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,7.0,80.0,2.48999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.920902084559202e-05, ""failing_tests"": [], ""error_types"": []}]",,80.0,2.48999,,,1.0,,
role_decomposed,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,8.0,164.0,3.287745,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00015191698912531137, ""failing_tests"": [], ""error_types"": []}]",,164.0,3.287745,,,,1.0,
simulation_trace,array_sum_stress,array,unknown,M,overflow;large_input,1,test,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_sum_stress.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001194169744849205, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_sum_ood.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0001075830077752471, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,7.0,153.0,3.378216,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_sum_ood.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00012504099868237972, ""failing_tests"": [], ""error_types"": []}]",11.0,153.0,3.378216,,,,,
pattern_skeleton,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,8.0,172.0,7.254548,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00011166703188791871, ""failing_tests"": [], ""error_types"": []}]",,172.0,7.254548,0.0,,,,
failure_mode_first,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,7.0,126.0,1.959148,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.700004011392593e-05, ""failing_tests"": [], ""error_types"": []}]",,126.0,1.959148,,,,,
multi_view,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 9.362498531118035e-05, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,7.0,80.0,2.48999,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 8.462503319606185e-05, ""failing_tests"": [], ""error_types"": []}]",,80.0,2.48999,,,1.0,,
role_decomposed,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,8.0,164.0,5.504771,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002604579785838723, ""failing_tests"": [], ""error_types"": []}]",,164.0,5.504771,,,,1.0,
simulation_trace,array_sum_ood,array,unknown,H,overflow;ood_shift,1,ood,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_sum_ood.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00016199995297938585, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_prefix.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00025937502505257726, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,7.0,152.0,2.0345,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_prefix.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00032699998700991273, ""failing_tests"": [], ""error_types"": []}]",11.0,152.0,2.0345,,,,,
pattern_skeleton,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,8.0,169.0,5.319446,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00020054099150002003, ""failing_tests"": [], ""error_types"": []}]",,169.0,5.319446,0.0,,,,
failure_mode_first,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,7.0,125.0,2.46159,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00036500004353001714, ""failing_tests"": [], ""error_types"": []}]",,125.0,2.46159,,,,,
multi_view,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,7.0,110.0,4.274395,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/multi_view/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00023320800391957164, ""failing_tests"": [], ""error_types"": []}]",,110.0,4.274395,,1.0,,,
semantic_diff,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,7.0,90.0,1.528847,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002234170096926391, ""failing_tests"": [], ""error_types"": []}]",,90.0,1.528847,,,1.0,,
role_decomposed,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,8.0,161.0,3.065915,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/role_decomposed/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.0002899999963119626, ""failing_tests"": [], ""error_types"": []}]",,161.0,3.065915,,,,1.0,
simulation_trace,array_prefix,array,unknown,M,off_by_one,1,train,1.0,2,7.0,49.0,1.977298,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/simulation_trace/array_prefix.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00020654202671721578, ""failing_tests"": [], ""error_types"": []}]",,49.0,1.977298,,,,,1.0
direct_baseline,array_prefix_test,array,unknown,M,off_by_one;edge_case,1,test,1.0,2,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/array_prefix_test.json,,0.0,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00013200001558288932, ""failing_tests"": [], ""error_types"": []}]",,,,,,,,
contract_first,array_prefix_test,array,unknown,M,off_by_one;edge_case,1,test,1.0,2,7.0,152.0,2.0345,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/array_prefix_test.json,,0.25,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00016095797764137387, ""failing_tests"": [], ""error_types"": []}]",11.0,152.0,2.0345,,,,,
pattern_skeleton,array_prefix_test,array,unknown,M,off_by_one;edge_case,1,test,1.0,2,8.0,169.0,5.319446,1.0,1.0,0.0,2.0,0.0,0.0,0.0,False,passed_initial,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/array_prefix_test.json,,,"[{""round"": 0, ""phase"": ""initial"", ""subtask"": ""plan"", ""localized"": false, ""pass_rate"": 1.0, ""status"": ""passed"", ""duration"": 0.00011679204180836678, ""failing_tests"": [], ""error_types"": []}]",,169.0,5.319446,0.0,,,,
