run_id,dataset_id,dataset_path,tasks_total,unique_tasks,tests_with_assets,tests_source_provided,tests_source_statement,tests_source_synthesized,status_success,status_failed_tests,status_skipped_non_coding,status_skipped_missing_tests,status_skipped_failed_synth,status_timeout,dominant_task_type,category_code,category,notes
topcoder_full_run,data_processed_tasks.parquet,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.parquet,189,189,34,0,3,31,0,34,139,0,16,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=34 (provided=0, statement=3, synthesized=31); dominant_task_type=n/a"
topcoder_full_run,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,189,189,34,0,3,31,0,34,139,0,16,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=34 (provided=0, statement=3, synthesized=31); dominant_task_type=n/a"
topcoder_present_demo,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,5,5,4,0,4,0,0,0,0,0,1,4,,coding_partial_validation,coding task with partial validation only,"tests_provided=4 (provided=0, statement=4, synthesized=0); dominant_task_type=n/a"
topcoder_present_demo,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,3,3,3,0,3,0,0,0,0,0,0,3,,coding_partial_validation,coding task with partial validation only,"tests_provided=3 (provided=0, statement=3, synthesized=0); dominant_task_type=n/a"
topcoder_present_demo,analysis_output_legacy_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output_legacy/ai_feasibility_analysis.csv,2,2,1,0,1,0,0,0,0,0,1,1,,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=1, synthesized=0); dominant_task_type=n/a"
topcoder_present_demo_v2,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,6,6,5,0,0,5,0,5,0,0,1,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=5 (provided=0, statement=0, synthesized=5); dominant_task_type=n/a"
topcoder_present_demo_v2,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,3,3,3,0,0,3,0,3,0,0,0,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=3 (provided=0, statement=0, synthesized=3); dominant_task_type=n/a"
topcoder_present_demo_v2,analysis_output_legacy_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output_legacy/ai_feasibility_analysis.csv,1,1,1,0,0,1,0,1,0,0,0,0,,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=0, synthesized=1); dominant_task_type=n/a"
universal_demo,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,5,5,2,0,1,1,0,2,0,0,1,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=2 (provided=0, statement=1, synthesized=1); dominant_task_type=algo_coding"
universal_demo,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,3,3,1,0,0,1,0,1,0,0,1,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=0, synthesized=1); dominant_task_type=algo_coding"
universal_demo,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,2,2,1,0,0,1,0,1,0,0,0,0,repo_patch,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=0, synthesized=1); dominant_task_type=repo_patch"
universal_demo,challenge_data_demoData.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/demoData.json,3,3,1,0,0,1,0,1,0,0,1,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=1 (provided=0, statement=0, synthesized=1); dominant_task_type=algo_coding"
universal_demo,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,2,2,2,0,0,2,0,2,0,0,0,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=2 (provided=0, statement=0, synthesized=2); dominant_task_type=algo_coding"
universal_demo,data_processed_tasks.parquet,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.parquet,4,4,4,0,0,4,0,4,0,0,0,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=4 (provided=0, statement=0, synthesized=4); dominant_task_type=algo_coding"
universal_demo,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,7,7,4,0,0,4,0,4,0,0,1,0,algo_coding,coding_partial_validation,coding task with partial validation only,"tests_provided=4 (provided=0, statement=0, synthesized=4); dominant_task_type=algo_coding"
arch_template_arch_only,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,2,2,2,2,0,0,0,0,0,0,0,0,architecture_doc,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=2 (provided=2, statement=0, synthesized=0); dominant_task_type=architecture_doc"
arch_template_check,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,12,12,12,12,0,0,8,4,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=12 (provided=12, statement=0, synthesized=0); dominant_task_type=algo_coding"
benchmark_subset,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,50,50,50,50,0,0,45,5,0,0,0,0,,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=50 (provided=50, statement=0, synthesized=0); dominant_task_type=n/a"
sample_no_analysis,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,2,2,2,2,0,0,1,1,0,0,0,0,,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=2 (provided=2, statement=0, synthesized=0); dominant_task_type=n/a"
topcoder_full_run,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,50,50,50,50,0,0,45,5,0,0,0,0,,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=50 (provided=50, statement=0, synthesized=0); dominant_task_type=n/a"
universal_demo,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,4,4,4,4,0,0,3,1,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=4 (provided=4, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_combined_mock,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_combined_openai,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_fix_openai,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_gate,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_mock_hardened,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_openai_hardened,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_v3,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
universal_demo_v3_openai,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,5,5,5,5,0,0,5,0,0,0,0,0,algo_coding,executable_coding_curated_tests,executable coding task with runnable tests,"tests_provided=5 (provided=5, statement=0, synthesized=0); dominant_task_type=algo_coding"
