worker_id,skill_vector,past_tasks_count,past_wins,domain_tags
legacy_worker_000015,0.506;0.561;-0.827;-0.922;0.137;-0.341;0.310;-0.882,1,0,"CSS,HTML,JavaScript"
legacy_worker_000016,-0.757;-0.804;0.161;0.153;0.380;0.286;0.788;-0.357,1,0,"CSS,HTML,JavaScript"
legacy_worker_000017,-0.388;0.325;0.467;-0.263;0.741;-0.820;0.224;0.576,1,1,ReactJS
legacy_worker_000018,0.059;-0.757;-0.114;-0.004;-0.357;-0.788;0.380;0.953,1,0,ReactJS
legacy_worker_000019,-0.380;-0.875;0.059;0.278;-0.380;-0.114;0.090;0.467,1,0,ReactJS
legacy_worker_000020,0.161;-0.271;0.255;-0.537;0.875;0.247;-0.898;0.443,1,0,ReactJS
legacy_worker_000021,-0.576;-0.459;-0.710;-0.255;0.506;-0.827;0.020;0.231,1,0,ReactJS
legacy_worker_000022,0.318;0.459;-0.027;-0.992;-0.953;0.914;0.929;-0.129,1,0,ReactJS
legacy_worker_000023,-0.388;-0.639;0.773;0.224;0.678;-0.820;-0.027;0.498,1,0,ReactJS
legacy_worker_000024,-0.420;0.404;-0.937;-0.545;0.098;0.898;0.176;0.216,1,0,ReactJS
legacy_worker_000025,0.702;0.671;-0.129;-0.161;-0.075;0.616;-0.224;0.718,1,0,ReactJS
legacy_worker_000026,-0.420;0.145;-0.804;-0.663;0.584;-0.608;-0.380;-0.569,1,0,ReactJS
legacy_worker_000027,-0.318;0.780;0.137;-0.906;-0.804;0.545;0.224;-0.286,1,0,ReactJS
legacy_worker_000028,0.012;-0.780;-0.686;0.404;-0.969;0.922;0.945;0.545,1,0,ReactJS
legacy_worker_000029,0.412;0.875;0.733;0.710;0.020;-0.255;0.239;-0.388,1,0,ReactJS
legacy_worker_000030,0.020;0.725;-0.286;0.773;-0.059;-0.169;-0.435;-0.122,1,0,ReactJS
legacy_worker_000031,0.184;-0.271;-0.255;-0.318;0.451;-0.380;0.773;0.035,1,0,ReactJS
legacy_worker_000032,0.176;-0.945;0.318;-1.000;0.710;-0.341;0.122;-0.522,1,0,ReactJS
legacy_worker_000033,0.435;0.475;-0.020;0.561;-0.145;-0.286;0.537;0.976,1,0,ReactJS
legacy_worker_000034,0.718;-0.490;0.655;-0.631;0.937;0.388;0.012;-0.333,1,0,ReactJS
legacy_worker_000035,-0.725;-0.624;0.827;-0.992;-0.804;0.569;0.153;0.647,1,0,ReactJS
legacy_worker_000036,0.333;-0.380;0.310;0.247;0.365;0.263;0.263;0.976,1,0,ReactJS
legacy_worker_000037,0.827;0.655;0.200;-0.067;-0.584;0.114;-0.388;0.867,1,0,ReactJS
legacy_worker_000038,-0.263;-0.929;-0.969;0.639;0.608;-0.537;1.000;0.388,1,0,ReactJS
legacy_worker_000039,0.059;-0.749;0.184;-0.004;0.553;-0.898;0.169;-0.380,1,0,ReactJS
legacy_worker_000040,0.318;-0.773;0.733;0.859;0.584;-0.576;0.992;0.373,1,0,ReactJS
legacy_worker_000041,0.020;0.161;0.357;-0.153;0.655;-0.686;0.514;-0.827,1,0,ReactJS
legacy_worker_000042,-0.137;-0.522;0.396;-0.506;-0.804;-0.569;0.953;-0.929,1,0,ReactJS
legacy_worker_000043,-0.420;-0.608;0.224;0.686;-0.835;-0.529;0.365;0.898,1,0,ReactJS
legacy_worker_000044,-0.592;-0.294;0.357;-0.404;-0.945;-0.718;-0.647;-0.631,1,0,ReactJS
legacy_worker_000045,-0.271;0.475;-0.161;0.090;0.835;-0.412;-0.482;-0.553,1,0,ReactJS
legacy_worker_000046,-0.867;0.725;-0.882;-0.600;0.475;-0.992;0.961;-0.647,1,0,ReactJS
legacy_worker_000047,-0.663;-0.271;-0.945;0.169;-0.027;0.004;0.663;0.906,1,0,ReactJS
legacy_worker_000048,0.404;-0.482;-0.922;-0.137;-1.000;0.365;-0.663;-0.255,1,0,ReactJS
legacy_worker_000049,0.482;-1.000;0.992;-0.937;0.427;-0.145;0.341;0.600,1,0,ReactJS
legacy_worker_000050,0.514;0.804;-0.663;0.569;0.122;0.553;-0.804;-0.514,1,0,ReactJS
legacy_worker_000051,0.153;-0.051;0.561;0.914;-0.545;-0.302;0.961;-0.427,1,0,ReactJS
legacy_worker_000052,-0.537;-0.184;0.945;0.004;-0.616;-0.545;0.976;0.773,1,0,ReactJS
legacy_worker_000053,-0.184;0.082;0.420;0.239;0.027;0.937;0.412;-0.694,1,0,ReactJS
legacy_worker_000054,0.122;0.718;0.875;-0.318;0.710;0.059;0.098;0.482,1,0,ReactJS
legacy_worker_000055,0.192;0.090;0.835;0.906;-0.859;0.114;0.647;-0.349,1,0,ReactJS
legacy_worker_000056,-0.522;0.443;-0.490;0.153;-0.263;0.224;-0.357;-0.451,1,0,ReactJS
legacy_worker_000057,0.404;-0.161;-0.922;-0.396;0.231;-0.184;0.106;0.451,1,0,ReactJS
legacy_worker_000058,0.302;-0.733;0.961;-0.090;-0.545;0.325;0.184;0.051,1,0,ReactJS
legacy_worker_000059,0.459;-0.043;-0.459;-0.561;-0.427;0.278;-0.027;-0.263,1,0,ReactJS
legacy_worker_000060,0.514;-0.694;0.780;0.898;-0.780;0.239;-0.561;0.937,1,0,ReactJS
legacy_worker_000061,-0.231;-0.608;0.365;-0.082;-0.529;0.420;0.051;0.639,1,0,ReactJS
legacy_worker_000062,-0.671;-0.357;0.788;0.122;0.624;-0.043;-0.271;-0.969,1,0,ReactJS
legacy_worker_000063,-0.098;-0.059;-0.341;-0.420;0.333;0.396;0.561;-0.537,1,0,ReactJS
legacy_worker_000064,0.137;-0.365;-0.075;-0.820;-0.608;-0.851;0.992;-0.506,1,0,ReactJS
legacy_worker_000065,0.984;-0.137;0.898;-0.004;0.380;-0.302;0.075;-0.639,1,0,ReactJS
legacy_worker_000066,0.122;-0.412;0.263;-0.475;-0.506;-0.969;0.843;0.302,1,0,ReactJS
legacy_worker_000067,-0.082;-0.310;0.788;-0.616;-0.718;0.020;0.694;0.592,1,0,ReactJS
legacy_worker_000068,0.631;0.733;0.569;-0.239;0.075;0.020;-0.114;0.514,1,0,ReactJS
legacy_worker_000069,0.278;0.310;-0.451;-0.906;0.663;-0.412;0.067;0.122,1,0,ReactJS
legacy_worker_000070,-0.984;0.059;0.318;0.576;0.310;-0.820;-0.663;0.153,1,0,ReactJS
legacy_worker_000071,0.475;0.035;0.859;0.067;-0.443;-0.122;-0.584;0.169,1,0,ReactJS
legacy_worker_000072,0.514;-0.035;-0.255;0.349;-0.357;0.984;0.263;-0.710,1,0,ReactJS
legacy_worker_000073,-0.184;0.373;0.976;-0.569;-0.451;-0.624;0.443;-0.937,1,0,ReactJS
legacy_worker_000074,0.843;-0.639;0.624;-0.773;0.247;0.067;-0.420;-0.106,1,0,ReactJS
legacy_worker_000075,0.702;0.718;0.671;0.914;-0.929;-0.286;-0.318;0.812,1,0,ReactJS
legacy_worker_000076,-0.686;-0.631;0.310;0.929;0.906;-0.302;-0.922;-0.686,1,0,ReactJS
legacy_worker_000077,-0.208;-0.169;0.835;-0.059;-0.576;0.608;0.427;0.765,1,0,ReactJS
legacy_worker_000078,-0.396;0.592;0.992;0.208;-0.129;-0.827;-0.106;-0.145,1,0,ReactJS
legacy_worker_000079,-0.678;0.043;-0.443;0.278;-0.780;-0.475;0.843;0.875,1,0,ReactJS
legacy_worker_000080,-0.765;-0.953;0.592;0.482;-0.827;0.153;0.859;0.176,1,0,ReactJS
legacy_worker_000081,-0.373;0.310;-0.757;0.576;0.247;0.357;-0.788;-0.867,1,0,ReactJS
legacy_worker_000082,0.075;0.341;-0.451;-0.349;0.200;-0.655;-0.075;0.169,1,0,ReactJS
legacy_worker_000083,0.553;-0.169;0.639;0.584;-0.027;0.208;0.310;-0.616,1,0,ReactJS
legacy_worker_000084,-0.553;-0.098;-0.012;0.106;-0.169;-0.757;0.012;-0.584,1,0,ReactJS
legacy_worker_000085,0.631;0.914;0.427;-0.741;0.976;0.059;0.984;-0.106,1,0,ReactJS
legacy_worker_000086,0.216;-0.584;0.075;-0.592;-0.514;0.239;-0.671;0.239,1,0,ReactJS
legacy_worker_000087,-0.075;-0.827;0.482;-0.145;-0.820;0.271;0.584;0.835,1,0,ReactJS
legacy_worker_000088,-0.780;0.639;-0.075;0.553;-0.341;0.608;0.655;0.200,1,0,ReactJS
legacy_worker_000089,0.247;-0.827;0.875;-0.027;-0.451;0.835;-0.537;0.671,1,0,ReactJS
legacy_worker_000090,0.255;0.137;0.075;0.624;-0.114;0.663;-0.475;-0.741,1,0,ReactJS
legacy_worker_000091,-0.090;-0.490;0.192;0.467;-0.506;0.671;-0.004;-0.310,1,0,ReactJS
legacy_worker_000092,-0.820;-0.255;0.239;0.035;-0.827;0.961;-0.757;-0.835,1,0,ReactJS
legacy_worker_000093,0.310;-0.373;0.302;0.749;-0.827;-0.843;-0.169;0.733,1,0,ReactJS
legacy_worker_000094,-0.686;0.569;0.757;-0.796;0.875;-0.804;0.922;0.788,1,0,ReactJS
legacy_worker_000095,-0.725;-0.443;0.043;0.082;-0.553;0.686;0.176;-0.161,1,0,ReactJS
legacy_worker_000096,0.702;-0.090;-0.906;0.325;-0.514;-0.945;-0.914;-0.725,1,0,ReactJS
legacy_worker_000097,0.796;-0.898;-0.145;-0.655;-0.796;0.482;0.827;-0.592,1,0,ReactJS
legacy_worker_000098,0.145;-0.624;-0.553;0.882;0.098;-0.004;-0.294;-0.145,1,0,ReactJS
legacy_worker_000099,-0.820;1.000;0.357;0.247;0.569;0.827;0.773;0.200,1,0,ReactJS
legacy_worker_000100,0.804;0.851;-0.498;0.224;0.467;-0.404;0.427;0.655,1,0,ReactJS
legacy_worker_000101,0.537;-0.718;-0.796;0.663;0.937;-0.631;-0.459;-0.333,1,0,ReactJS
legacy_worker_000102,0.169;-0.694;-0.310;0.490;-0.286;-0.686;0.067;-0.835,1,0,ReactJS
legacy_worker_000103,0.145;0.976;-0.906;0.804;0.443;-0.114;0.020;-0.945,1,0,ReactJS
legacy_worker_000104,0.616;-0.969;-0.490;-0.169;0.953;0.239;-0.882;0.224,1,0,ReactJS
legacy_worker_000105,0.200;0.380;-1.000;-0.631;-0.027;-0.200;0.890;0.318,1,0,ReactJS
legacy_worker_000106,-0.349;0.702;0.671;-0.396;-0.749;-0.396;0.129;0.639,1,0,ReactJS
legacy_worker_000107,-0.702;0.192;-0.075;0.992;0.741;0.522;-0.153;0.561,1,0,ReactJS
legacy_worker_000108,0.718;-0.404;-0.145;-0.082;0.059;0.145;0.427;-0.710,1,0,ReactJS
legacy_worker_000109,0.176;0.388;0.929;0.647;-0.702;-0.812;0.749;0.875,1,0,ReactJS
legacy_worker_000110,0.733;-0.239;0.231;-0.012;-0.482;-0.992;-0.302;-0.498,1,0,ReactJS
legacy_worker_000111,0.922;-0.678;0.380;0.506;0.004;-0.529;-0.953;-0.325,1,0,ReactJS
legacy_worker_000112,0.749;-0.553;-0.812;-0.075;-0.373;0.341;0.294;0.043,1,0,ReactJS
legacy_worker_000113,0.145;0.851;-0.286;-0.263;0.647;0.522;-0.624;0.059,1,0,ReactJS
legacy_worker_000114,-0.718;0.992;0.522;0.475;-0.702;0.027;0.788;-0.655,1,0,ReactJS
legacy_worker_000115,0.318;0.278;0.710;-0.718;0.710;-0.514;0.992;0.545,1,0,ReactJS
legacy_worker_000116,0.733;-1.000;-0.765;0.984;0.733;-0.890;-0.851;-0.859,1,0,ReactJS
legacy_worker_000117,1.000;-0.271;0.067;-0.027;0.176;0.114;0.663;0.263,1,0,ReactJS
legacy_worker_000118,0.482;-0.341;-0.459;-0.514;0.161;-0.843;0.506;-0.569,1,0,ReactJS
legacy_worker_000119,0.176;-0.412;-0.404;0.992;0.004;-0.545;0.600;0.482,1,0,ReactJS
legacy_worker_000120,-0.702;0.882;0.004;0.890;-0.725;-0.098;-0.906;0.976,1,0,ReactJS
legacy_worker_000121,-0.373;-0.522;0.843;0.851;-0.294;-0.286;0.435;-0.561,1,0,ReactJS
legacy_worker_000122,-0.827;0.216;0.388;-0.686;0.114;-0.412;0.875;-0.953,1,0,ReactJS
legacy_worker_000123,0.537;0.467;0.302;0.012;-0.420;0.043;-0.576;-0.945,1,0,ReactJS
legacy_worker_000124,0.271;-0.671;-0.082;0.961;-0.286;0.569;0.169;-0.945,1,0,ReactJS
legacy_worker_000125,-0.137;0.922;0.443;0.263;-0.859;-0.325;0.255;-0.867,1,0,ReactJS
legacy_worker_000126,0.035;-0.773;0.451;-0.725;0.529;0.325;-0.788;-0.522,1,0,ReactJS
legacy_worker_000127,-0.765;0.357;0.459;0.788;-0.106;-0.247;-0.592;-0.984,1,0,ReactJS
legacy_worker_000128,-0.208;-0.741;-0.467;0.404;-0.451;0.184;0.271;-0.639,1,0,ReactJS
legacy_worker_000129,0.961;0.059;0.616;-0.020;-0.827;-0.914;-0.216;-0.490,1,0,ReactJS
legacy_worker_000130,0.475;-0.388;1.000;0.145;0.937;0.710;0.208;-0.365,1,0,ReactJS
legacy_worker_000131,0.482;-0.373;-0.263;-0.937;-0.969;-0.333;-0.961;-0.420,1,0,ReactJS
legacy_worker_000132,0.247;-0.937;-0.475;0.278;-0.482;-0.773;-0.592;0.647,1,0,ReactJS
legacy_worker_000133,-0.655;-0.349;0.537;-0.012;-0.051;0.090;-0.475;0.075,1,0,ReactJS
legacy_worker_000134,0.694;0.569;0.600;-0.796;-0.867;-0.859;0.969;0.686,1,0,ReactJS
legacy_worker_000135,0.114;-0.325;-0.349;0.827;0.239;0.059;0.725;-0.773,1,0,ReactJS
legacy_worker_000136,0.624;-0.459;0.545;0.882;-0.749;-0.035;-0.576;0.380,1,0,ReactJS
legacy_worker_000137,-0.090;-0.467;-0.106;0.388;-0.427;-0.937;-0.553;0.286,1,0,ReactJS
legacy_worker_000138,-0.435;0.192;0.867;-0.137;-0.569;0.412;0.773;-0.718,1,0,ReactJS
legacy_worker_000139,-0.608;-0.522;-0.945;-0.271;-0.529;-0.475;-0.733;-0.420,1,0,ReactJS
legacy_worker_000140,-0.200;-0.906;-0.122;-0.412;0.765;-0.859;-0.655;0.749,1,0,ReactJS
legacy_worker_000141,-0.506;0.451;0.718;0.529;0.890;0.412;-0.200;-0.176,1,0,ReactJS
legacy_worker_000142,0.906;-0.325;0.145;-0.129;0.875;0.914;0.545;0.608,1,0,ReactJS
legacy_worker_000143,0.153;0.035;-0.490;-0.247;0.898;0.608;-0.663;-0.224,1,0,ReactJS
legacy_worker_000144,-0.898;-0.020;-0.804;-0.608;-0.286;-0.945;0.451;-0.694,1,0,ReactJS
legacy_worker_000145,-0.051;0.435;0.663;-0.757;-0.827;-0.169;-0.976;0.945,1,0,ReactJS
legacy_worker_000146,-0.561;-0.129;-0.467;-0.561;-0.098;0.624;0.357;-0.106,1,0,ReactJS
legacy_worker_000147,-0.812;0.773;-0.404;0.059;-0.490;-0.208;0.804;0.137,1,0,ReactJS
legacy_worker_000148,-0.263;0.490;-0.733;-0.137;0.616;0.655;-0.725;0.514,1,0,ReactJS
legacy_worker_000149,-0.592;0.051;-0.953;-0.553;0.263;0.804;0.271;-0.067,1,0,ReactJS
legacy_worker_000150,0.012;-0.255;0.310;-0.380;0.451;0.302;0.216;-0.098,1,0,ReactJS
legacy_worker_000151,-0.835;0.992;-0.929;-0.867;-0.671;-0.624;0.616;-0.380,1,0,ReactJS
legacy_worker_000152,-0.867;-0.600;-0.608;-0.208;0.576;0.671;0.537;-0.090,1,0,ReactJS
legacy_worker_000153,0.043;-0.427;-0.459;0.694;0.780;0.882;-0.749;-0.898,1,0,ReactJS
legacy_worker_000154,0.631;0.804;-0.153;-0.482;-0.114;-0.584;0.075;0.875,1,0,ReactJS
legacy_worker_000155,-0.804;-1.000;0.498;0.749;-0.090;-0.780;-0.600;-0.765,1,0,ReactJS
legacy_worker_000156,0.310;-0.796;0.184;-0.600;-0.482;-0.161;-0.890;0.153,1,0,ReactJS
legacy_worker_000157,0.537;0.718;0.867;0.106;-0.875;-0.647;-0.663;-0.906,1,0,ReactJS
legacy_worker_000158,-0.859;-0.584;-0.976;-0.325;0.286;0.153;-0.035;-0.443,1,0,ReactJS
legacy_worker_000159,0.961;-0.639;-0.145;0.522;-0.522;-0.294;-0.302;0.851,1,0,ReactJS
legacy_worker_000160,0.631;0.529;0.490;-0.020;0.725;0.686;-0.239;-0.224,1,0,ReactJS
legacy_worker_000161,0.875;-0.898;-0.341;0.239;0.255;0.145;0.686;0.020,1,0,ReactJS
legacy_worker_000162,-0.255;0.482;-0.773;-0.427;-0.247;-0.624;-0.216;0.224,1,0,ReactJS
legacy_worker_000163,-0.514;0.773;0.569;0.890;0.663;0.765;-0.443;0.718,1,0,ReactJS
legacy_worker_000164,-0.976;-0.875;0.639;-0.278;0.349;0.373;0.475;-0.239,1,0,ReactJS
legacy_worker_000165,0.569;0.584;-0.380;0.082;0.898;0.012;0.820;-0.827,1,0,ReactJS
legacy_worker_000166,-0.192;0.184;0.984;-0.757;0.647;-0.012;0.592;0.373,1,0,ReactJS
legacy_worker_000167,-0.898;0.961;0.114;0.263;0.090;-0.835;0.388;-0.537,1,0,ReactJS
legacy_worker_000168,-0.859;-0.631;-0.514;-0.875;0.875;0.169;-0.624;-0.224,1,0,ReactJS
legacy_worker_000169,-0.702;0.020;0.592;0.067;0.161;0.357;0.569;-0.757,1,0,ReactJS
legacy_worker_000170,0.867;-0.812;0.741;0.733;0.702;0.584;0.318;0.192,1,0,ReactJS
legacy_worker_000171,0.961;-0.451;0.882;-0.200;-0.145;-0.804;0.122;-0.584,1,0,ReactJS
legacy_worker_000172,-0.984;0.349;0.843;-0.412;0.867;0.522;0.953;0.200,1,0,ReactJS
legacy_worker_000173,0.482;-0.710;-0.122;0.882;-0.333;-0.553;-0.537;-0.388,1,0,ReactJS
legacy_worker_000174,-0.027;-0.882;-0.325;-0.608;-0.608;-0.929;-0.529;-0.647,1,0,ReactJS
legacy_worker_000175,0.184;0.051;0.349;-0.020;-0.059;0.176;0.718;-0.584,1,0,ReactJS
legacy_worker_000176,0.349;0.427;-0.169;0.725;0.106;-0.969;-0.608;0.373,1,0,ReactJS
legacy_worker_000177,0.467;0.490;0.506;-0.294;-0.020;-0.318;-0.678;-0.004,1,0,ReactJS
legacy_worker_000178,0.012;-0.294;0.733;-0.851;0.090;0.576;-0.733;-0.804,1,0,ReactJS
legacy_worker_000179,-0.890;0.051;0.545;-1.000;0.082;-0.537;-0.765;0.380,1,0,ReactJS
legacy_worker_000180,0.663;0.859;0.012;-0.176;0.373;-0.725;0.255;0.929,1,0,ReactJS
legacy_worker_000181,-0.765;0.545;0.333;-0.122;-0.004;-0.553;-0.773;-0.325,1,0,ReactJS
legacy_worker_000182,0.953;0.843;-0.043;-0.333;0.373;0.349;0.122;0.890,1,0,ReactJS
legacy_worker_000183,0.271;-0.498;-0.859;0.263;-0.153;-0.961;0.522;-0.522,1,0,ReactJS
legacy_worker_000184,0.365;-0.561;0.153;-0.459;0.906;-0.937;-0.490;-0.247,1,0,ReactJS
legacy_worker_000185,0.851;-0.239;0.098;0.976;0.184;0.380;-0.922;0.835,1,0,ReactJS
legacy_worker_000186,0.310;-0.929;-0.820;0.412;-0.075;-0.733;-0.325;0.529,1,0,ReactJS
legacy_worker_000187,-0.498;0.906;-0.388;0.757;-0.129;0.922;0.702;0.639,1,0,ReactJS
legacy_worker_000188,0.200;0.114;-0.710;-0.584;-0.733;0.467;-0.388;0.294,1,0,ReactJS
legacy_worker_000189,-0.890;-0.271;0.882;0.976;0.718;-0.169;0.475;0.420,1,0,ReactJS
legacy_worker_000190,0.294;-0.773;0.498;-0.302;0.718;-1.000;-0.396;-0.129,1,0,ReactJS
legacy_worker_000191,-0.051;-0.529;-0.114;0.922;0.514;-0.137;-0.129;0.851,1,0,ReactJS
legacy_worker_000192,0.176;-0.835;-0.467;0.765;-0.733;-0.788;0.945;-0.686,1,0,ReactJS
legacy_worker_000193,-0.035;-0.020;-0.937;0.059;-0.420;0.365;0.553;0.200,1,0,ReactJS
legacy_worker_000194,0.224;0.184;-0.216;0.922;0.318;-0.522;0.349;0.098,1,0,ReactJS
legacy_worker_000195,-0.067;-0.404;0.294;0.608;-0.427;0.616;-0.624;-0.090,1,0,ReactJS
legacy_worker_000196,0.718;-0.788;-0.843;0.420;0.929;0.702;0.992;-0.804,1,0,ReactJS
legacy_worker_000197,0.075;0.835;0.176;0.976;-0.075;-0.365;0.906;-0.239,1,0,ReactJS
legacy_worker_000198,-0.404;-0.804;0.561;0.812;0.898;-0.420;0.608;0.090,1,0,ReactJS
legacy_worker_000199,-0.710;-1.000;-0.859;-0.663;-0.114;-0.882;0.231;-0.435,1,0,ReactJS
legacy_worker_000200,0.145;0.208;-0.090;0.388;0.937;-0.937;-0.153;0.443,1,0,ReactJS
legacy_worker_000201,0.200;0.318;-0.710;0.153;0.671;-0.451;0.953;0.051,1,0,ReactJS
legacy_worker_000202,-0.969;0.216;-0.796;-0.012;-0.922;-0.349;0.671;-0.624,1,0,ReactJS
legacy_worker_000203,-0.467;0.561;0.373;-0.459;-0.867;0.914;0.835;0.765,1,0,ReactJS
legacy_worker_000204,0.600;0.043;0.239;-0.482;-0.035;0.780;-0.929;0.937,1,0,ReactJS
legacy_worker_000205,0.906;-0.302;-0.812;0.318;0.184;0.075;-0.631;0.247,1,0,ReactJS
legacy_worker_000206,0.075;0.600;-0.631;-0.812;0.725;0.529;-0.569;-0.576,1,0,ReactJS
legacy_worker_000207,-0.239;-0.733;-0.765;-0.490;0.820;-0.412;-0.082;0.914,1,0,ReactJS
legacy_worker_000208,-0.820;-0.780;-0.043;0.420;-0.812;0.788;0.702;-0.247,1,0,ReactJS
legacy_worker_000209,-0.004;-0.200;0.247;-0.616;0.176;-0.459;-0.255;0.843,1,0,ReactJS
legacy_worker_000210,0.655;-0.741;-0.043;-0.702;-0.467;-0.294;0.851;-0.992,1,0,ReactJS
legacy_worker_000211,0.208;0.663;0.725;0.443;-0.969;0.106;-0.420;0.153,1,0,ReactJS
legacy_worker_000212,0.129;-0.710;0.820;0.780;-0.608;0.451;0.773;-0.435,1,0,ReactJS
legacy_worker_000213,0.710;-0.043;0.004;-0.608;0.961;-0.067;-0.741;-0.624,1,0,ReactJS
legacy_worker_000214,-0.686;-0.224;-0.749;0.655;-0.404;-0.012;-0.396;-0.788,1,0,ReactJS
legacy_worker_000215,0.208;0.718;0.592;-0.169;0.137;-0.937;-0.890;0.043,1,0,ReactJS
legacy_worker_000216,0.890;0.694;0.529;-0.161;-0.333;-0.082;-0.945;-0.937,1,0,ReactJS
zenktristan,-0.373;-0.694;0.490;0.937;0.004;-0.059;0.820;-0.600,2,2,ReactJS
legacy_worker_000217,-0.671;-0.702;0.388;-0.624;-0.961;0.953;-0.639;0.412,1,0,ReactJS
legacy_worker_000218,0.741;0.961;-0.569;0.082;-0.733;-0.624;0.522;0.608,1,0,ReactJS
legacy_worker_000219,-0.027;0.325;0.459;0.600;-0.357;0.341;0.349;-1.000,1,0,ReactJS
legacy_worker_000220,0.020;0.467;-0.898;-0.075;0.639;0.945;-0.129;-0.576,1,0,ReactJS
legacy_worker_000221,0.451;-0.145;-0.278;-0.639;0.592;0.302;-0.647;0.373,1,0,ReactJS
legacy_worker_000222,0.953;0.733;0.820;0.263;0.890;0.976;-0.757;0.106,1,0,ReactJS
legacy_worker_000223,0.373;0.788;-0.914;-0.584;-0.765;0.804;-0.663;0.153,1,0,ReactJS
legacy_worker_000224,-0.459;-0.482;-0.702;-0.592;0.427;0.373;0.012;0.796,1,0,ReactJS
legacy_worker_000225,0.200;0.451;-0.357;-0.969;0.090;-0.522;0.467;0.443,1,0,ReactJS
legacy_worker_000226,0.631;-0.890;0.875;0.012;-0.482;-0.059;0.522;0.733,1,0,ReactJS
legacy_worker_000227,0.553;-0.380;-0.647;-0.898;-1.000;0.145;0.741;0.341,1,0,ReactJS
legacy_worker_000228,-0.482;0.835;0.812;0.718;-0.114;-0.114;-0.357;-0.733,1,0,ReactJS
legacy_worker_000229,-0.357;-0.325;-0.349;-0.247;-0.271;-0.145;-0.710;0.208,1,0,ReactJS
legacy_worker_000230,0.631;0.545;0.035;-0.859;-0.239;-0.255;0.506;-0.796,1,0,ReactJS
legacy_worker_000231,-0.098;-0.773;-0.741;0.757;0.467;-0.310;-0.694;-0.059,1,0,ReactJS
legacy_worker_000232,0.059;0.835;0.631;0.553;0.357;-0.671;0.529;0.639,1,0,ReactJS
legacy_worker_000233,0.820;-0.765;-0.263;-0.600;0.686;-0.647;-0.098;0.184,1,0,ReactJS
legacy_worker_000234,-0.145;-0.812;0.780;0.663;0.388;-0.098;0.020;0.945,1,0,ReactJS
legacy_worker_000235,-0.710;-0.545;-0.545;-0.404;-0.333;0.804;0.278;-0.906,1,0,ReactJS
legacy_worker_000236,-0.663;0.302;0.271;-0.271;-0.914;-0.020;0.506;-0.271,1,0,ReactJS
legacy_worker_000237,-0.663;-0.224;0.835;0.365;0.051;-0.553;-0.412;-0.569,1,0,ReactJS
legacy_worker_000238,-0.498;0.631;-0.325;0.976;0.976;-0.898;0.176;-0.976,1,0,ReactJS
legacy_worker_000239,-0.247;0.937;-0.153;0.969;-0.875;0.035;0.357;1.000,1,0,ReactJS
legacy_worker_000240,-0.427;0.114;-0.255;-0.882;0.663;-0.192;-0.271;-0.631,1,0,ReactJS
legacy_worker_000241,0.224;-0.365;-0.976;-0.498;0.129;-0.129;-0.012;-0.075,1,0,ReactJS
legacy_worker_000242,-0.255;-0.843;0.843;0.443;0.616;0.655;0.106;-0.286,1,0,ReactJS
legacy_worker_000243,0.263;-0.780;-0.341;0.075;0.741;0.004;0.953;0.976,1,0,ReactJS
