month,challenges,total_prize,total_submissions,open_for_registration,open_for_submission,avg_submission_window_hours,ai_challenges,ai_total_prize,ai_submissions,avg_ai_submission_window_hours
2016-01,112,114317,421,0,0,12542.72,40,37655,148,15974.66
2016-02,114,119696,421,0,0,11759.98,48,48850,220,15564.83
2016-03,211,204318,698,0,0,15916.7,63,83863,243,11081.66
2016-04,219,208250,695,0,0,14377.55,61,74940,214,6914.16
2016-05,183,126235,663,0,0,17697.82,58,51305,224,16673.87
2016-06,169,157121,683,0,0,14263.39,69,87020,205,8516.3
2016-07,120,110755,477,0,0,17215.96,29,41675,129,5038.31
2016-08,154,117490,471,0,0,16580.56,47,46075,135,10400.44
2016-09,105,91510,317,0,0,12083.94,42,35270,115,13889.18
2016-10,126,126800,443,0,0,11758.4,33,54375,75,1155.26
2016-11,127,138798,425,0,0,9065.11,62,73525,186,11142.55
2016-12,113,137885,347,0,0,8308.23,41,60450,114,4790.13
2017-01,74,67800,319,0,0,11832.32,21,27650,70,6011.32
2017-02,74,83231,231,0,0,7908.52,25,30036,99,11030.74
2017-03,112,134456,274,0,0,9088.93,33,60365,111,3718.82
2017-04,95,96991,245,0,0,10466.89,22,28560,60,4074.35
2017-05,77,81915,230,0,0,7827.02,24,54475,74,2508.64
2017-06,88,85690,312,0,0,5690.04,21,25865,119,1454.28
2017-07,85,105410,807,0,0,6432.2,28,44200,88,1089.43
2017-08,87,115389,297,0,0,7008.9,25,41375,101,2214.14
2017-09,98,104336,471,0,0,5536.82,21,35200,107,1353.02
2017-10,90,114155,481,0,0,4781.88,25,50170,209,3151.16
2017-11,127,156168,341,0,0,9281.45,36,55225,96,6762.37
2017-12,109,138304,301,0,0,7332.12,28,51410,99,3426.62
2018-01,127,283232,335,0,0,4159.8,29,52356,125,1694.28
2018-02,114,165960,355,0,0,3140.26,38,70110,124,1849.34
2018-03,181,366459,750,0,0,3415.76,58,89650,416,2096.61
2018-04,143,183305,430,0,0,5168.45,59,96675,149,4555.26
2018-05,143,168980,469,0,0,4740.05,35,57525,158,2922.14
2018-06,169,235461,409,0,0,5172.84,36,56273,110,3246.11
2018-07,133,128673,373,0,0,3766.82,33,43553,93,1742.95
2018-08,102,123541,272,0,0,2004.56,39,67427,114,158.06
2018-09,122,212486,406,0,0,3499.31,47,97901,132,3968.91
2018-10,160,178103,368,0,0,4189.35,62,88517,162,3209.96
2018-11,146,227052,353,0,0,4007.3,40,53537,115,1237.8
2018-12,116,158299,296,0,0,3408.39,43,52892,106,3085.58
2019-01,154,180932,549,0,0,3351.06,33,30225,102,2151.43
2019-02,178,236072,536,0,0,3553.97,78,74860,256,4694.18
2019-03,196,298738,493,0,0,3600.94,74,87888,223,4696.01
2019-04,153,151510,465,0,0,3514.12,57,68823,164,3307.53
2019-05,198,197740,589,0,0,3557.14,57,88077,215,1592.28
2019-06,175,181920,636,0,0,2826.55,67,81605,236,1722.12
2019-07,226,218639,816,0,0,3142.06,92,100501,343,2560.3
2019-08,156,178905,466,0,0,2223.06,59,79303,162,1261.98
2019-09,128,109716,411,0,0,2759.17,45,43192,152,1823.56
2019-10,152,151575,625,0,0,3215.28,41,74942,217,1151.06
2019-11,80,83237,409,0,0,1920.26,25,23973,129,1358.51
2019-12,117,105663,573,0,0,1956.63,31,39050,165,664.6
2020-01,102,82581,359,0,0,2016.84,28,35160,121,744.79
2020-02,158,146993,607,0,0,1846.32,30,33740,89,1512.2
2020-03,137,137981,525,0,0,1311.29,37,52595,217,391.09
2020-04,112,115460,502,0,0,837.39,46,52080,185,507.79
2020-05,106,126171,428,0,0,619.99,51,63900,200,427.24
2020-06,97,96192,344,0,0,533.2,40,49749,152,271.23
2020-07,83,95807,333,0,0,192.73,34,38506,141,174.26
2020-08,113,76480,786,0,0,155.39,33,32515,405,184.87
2020-09,148,88418,592,0,0,147.57,50,40731,241,139.05
2020-10,172,124379,793,0,0,135.5,64,50955,299,113.76
2020-11,102,115375,495,0,0,132.2,47,55860,243,156.45
2020-12,103,105089,570,0,0,148.65,38,35014,306,148.46
